X,Y,SPECIES NAME
4527500,3041500,Picea abies
4376500,2820500,Picea abies
4596500,2859500,Picea abies
4381500,3261500,Picea abies
4094500,2951500,Picea abies
4395500,3041500,Picea abies
4435500,3022500,Picea abies
4286500,2767500,Picea abies
4251500,3165500,Picea abies
4321500,2870500,Picea abies
4367500,3192500,Picea abies
4548500,3067500,Picea abies
4170500,3072500,Picea abies
4471500,3023500,Picea abies
4223500,3118500,Picea abies
4140500,3069500,Picea abies
4387500,3169500,Picea abies
4456500,2835500,Picea abies
4097500,3009500,Picea abies
4306500,2769500,Picea abies
4374500,3072500,Picea abies
4375500,3180500,Picea abies
4326500,2742500,Picea abies
4412500,2989500,Picea abies
4224500,2754500,Picea abies
4338500,3052500,Picea abies
4508500,3362500,Picea abies
4159500,3021500,Picea abies
4343500,2714500,Picea abies
4418500,3050500,Picea abies
4446500,3054500,Picea abies
4075500,3014500,Picea abies
4068500,3027500,Picea abies
4180500,3062500,Picea abies
4222500,2752500,Picea abies
4300500,3177500,Picea abies
4247500,2837500,Picea abies
4469500,2967500,Picea abies
4337500,3256500,Picea abies
4347500,2850500,Picea abies
4421500,2802500,Picea abies
4340500,2888500,Picea abies
4209500,2726500,Picea abies
4055500,3010500,Picea abies
4424500,2822500,Picea abies
4193500,2818500,Picea abies
4581500,3082500,Picea abies
4224500,2782500,Picea abies
4175500,3142500,Picea abies
4406500,3049500,Picea abies
4168500,2753500,Picea abies
4170500,2753500,Picea abies
4499500,3044500,Picea abies
4341500,2872500,Picea abies
4409500,3039500,Picea abies
4321500,2844500,Picea abies
4351500,2846500,Picea abies
4358500,3076500,Picea abies
4114500,3036500,Picea abies
4263500,2805500,Picea abies
4297500,2809500,Picea abies
4271500,3169500,Picea abies
4062500,3001500,Picea abies
4361500,2800500,Picea abies
4427500,3014500,Picea abies
4624500,3102500,Picea abies
4047500,3008500,Picea abies
4052500,2984500,Picea abies
4151500,3123500,Picea abies
4362500,2744500,Picea abies
4424500,2974500,Picea abies
4288500,2757500,Picea abies
4525500,3043500,Picea abies
4303500,2851500,Picea abies
4524500,3063500,Picea abies
4470500,2755500,Picea abies
4198500,2780500,Picea abies
4389500,3179000,Picea abies
4100500,2959500,Picea abies
4310500,3365500,Picea abies
4493500,2804500,Picea abies
4227500,2812500,Picea abies
4232500,3174500,Picea abies
4179500,3106500,Picea abies
4180500,2744500,Picea abies
4313500,3454500,Picea abies
4183500,3142500,Picea abies
4227500,3150500,Picea abies
4132500,2983500,Picea abies
4275500,2805500,Picea abies
4352500,3196500,Picea abies
4414500,3050500,Picea abies
4138500,2991500,Picea abies
4307500,2859500,Picea abies
4541500,2813500,Picea abies
4147500,3139500,Picea abies
4550500,3061500,Picea abies
4270500,2925500,Picea abies
4371500,3180500,Picea abies
4180500,2740500,Picea abies
4152500,3061500,Picea abies
4295500,3431500,Picea abies
4192500,2768500,Picea abies
4303500,2829500,Picea abies
4203500,3138500,Picea abies
4160500,3037500,Picea abies
4274500,2751500,Picea abies
4373500,3179500,Picea abies
4324500,2750500,Picea abies
4141500,3123500,Picea abies
4552500,2829500,Picea abies
4183500,2826500,Picea abies
4119500,2970500,Picea abies
4207500,3106500,Picea abies
4262500,2791500,Picea abies
4159500,2991500,Picea abies
4565500,3086500,Picea abies
4300500,2731500,Picea abies
4247500,2803500,Picea abies
4176500,3064500,Picea abies
4486500,2763500,Picea abies
4363500,3176500,Picea abies
4326500,2762500,Picea abies
4244500,2777500,Picea abies
4444500,2990500,Picea abies
4053500,2982500,Picea abies
4341500,2866500,Picea abies
4365500,2722500,Picea abies
4548500,3059500,Picea abies
4162500,2901500,Picea abies
4210500,3098500,Picea abies
4373500,2738500,Picea abies
4147500,3111500,Picea abies
4073500,3005500,Picea abies
4214500,2800500,Picea abies
4157000,3184000,Picea abies
4455500,3039500,Picea abies
4161500,3247500,Picea abies
4240500,2937500,Picea abies
4299500,2845500,Picea abies
4348500,2778500,Picea abies
4443500,3022500,Picea abies
4211500,3118500,Picea abies
4219500,3130500,Picea abies
4454500,3371000,Picea abies
4147500,3009500,Picea abies
4170500,3094500,Picea abies
4367500,3184500,Picea abies
4399500,3045500,Picea abies
4300500,2771500,Picea abies
4286500,2755500,Picea abies
4226500,3086500,Picea abies
4295500,2827500,Picea abies
4084500,3038500,Picea abies
4348500,3188500,Picea abies
4377500,2742500,Picea abies
4336500,3192500,Picea abies
4058500,3029500,Picea abies
4381500,2801500,Picea abies
4223500,3130500,Picea abies
4130500,2923500,Picea abies
4339500,2826500,Picea abies
4236500,2784500,Picea abies
4218500,2744500,Picea abies
4215500,3122500,Picea abies
4313500,2857500,Picea abies
4349500,2872500,Picea abies
4119500,2972500,Picea abies
4258500,2797500,Picea abies
4356500,3012500,Picea abies
4256500,2779500,Picea abies
4211500,2802500,Picea abies
4194500,3060500,Picea abies
4242500,2744500,Picea abies
4174500,3094500,Picea abies
4057500,3003500,Picea abies
4158500,2741500,Picea abies
4501500,2816500,Picea abies
4045500,3008500,Picea abies
4063500,3005500,Picea abies
4198500,2744500,Picea abies
4170500,3052500,Picea abies
4303500,3125500,Picea abies
4157500,3311500,Picea abies
4391500,2721500,Picea abies
4300500,3469500,Picea abies
4344500,2722500,Picea abies
4188500,2744500,Picea abies
4477500,3025500,Picea abies
4399500,3037500,Picea abies
4067500,3019500,Picea abies
4133500,2977500,Picea abies
4168500,3054500,Picea abies
4141500,3119500,Picea abies
4589500,2851500,Picea abies
4375500,3188500,Picea abies
4431500,3038500,Picea abies
4403500,3037500,Picea abies
4401500,2805500,Picea abies
4419500,2890500,Picea abies
4433500,2810500,Picea abies
4320500,2926500,Picea abies
4303500,3431500,Picea abies
4194500,2772500,Picea abies
4061500,3017500,Picea abies
4284500,2885500,Picea abies
4509000,2808500,Picea abies
4382500,3057500,Picea abies
4564500,3080500,Picea abies
4397500,2793500,Picea abies
4554500,3061500,Picea abies
4260500,2783500,Picea abies
4362500,3068500,Picea abies
4155500,3135500,Picea abies
4068500,3035500,Picea abies
4073500,3047500,Picea abies
4355500,3197500,Picea abies
4415500,3042500,Picea abies
4377500,2870500,Picea abies
4191500,3130500,Picea abies
4300500,3351500,Picea abies
4560500,3079500,Picea abies
4298500,2827500,Picea abies
4326500,3040500,Picea abies
4215500,3102500,Picea abies
4391500,3041500,Picea abies
4291500,2811500,Picea abies
4111500,2928500,Picea abies
4210500,3094500,Picea abies
4117500,2966500,Picea abies
4307500,2801500,Picea abies
4315500,2848500,Picea abies
4282500,2791500,Picea abies
4389500,3051000,Picea abies
4347500,2812500,Picea abies
4540500,3055500,Picea abies
4183500,2810500,Picea abies
4316500,2910500,Picea abies
4332500,2726500,Picea abies
4174500,3046500,Picea abies
4497500,3038500,Picea abies
4252500,2937500,Picea abies
4367500,3188500,Picea abies
4340500,2884500,Picea abies
4367500,2732500,Picea abies
4301500,3313500,Picea abies
4327500,2714500,Picea abies
4581500,3083500,Picea abies
4172500,2794500,Picea abies
4363500,2728500,Picea abies
4259500,3149500,Picea abies
