X,Y,SPECIES NAME
4281500,2825500,Fagus sylvatica
4203500,3110500,Fagus sylvatica
4302500,3511500,Fagus sylvatica
4116500,3104500,Fagus sylvatica
4591500,3438500,Fagus sylvatica
4081500,3054500,Fagus sylvatica
4538500,3363500,Fagus sylvatica
4159500,3015500,Fagus sylvatica
4113500,2976500,Fagus sylvatica
4230500,2748500,Fagus sylvatica
4335000,2788500,Fagus sylvatica
4219500,3138500,Fagus sylvatica
4470500,2903500,Fagus sylvatica
4325500,3134500,Fagus sylvatica
4252500,2737500,Fagus sylvatica
4358500,3138500,Fagus sylvatica
4293500,2805500,Fagus sylvatica
4574500,3096500,Fagus sylvatica
4294500,2915500,Fagus sylvatica
4307500,2809500,Fagus sylvatica
4130500,3140500,Fagus sylvatica
4363500,3458500,Fagus sylvatica
4363500,3404500,Fagus sylvatica
4341500,3388500,Fagus sylvatica
4314500,3460500,Fagus sylvatica
4463500,2867500,Fagus sylvatica
4402500,3429500,Fagus sylvatica
4280500,3237500,Fagus sylvatica
4163500,3001500,Fagus sylvatica
4125500,2968500,Fagus sylvatica
4347500,3132500,Fagus sylvatica
4373500,3162500,Fagus sylvatica
4524500,3353500,Fagus sylvatica
4150500,2741500,Fagus sylvatica
4288500,3233500,Fagus sylvatica
4554500,3480500,Fagus sylvatica
4373500,2878500,Fagus sylvatica
4558500,3358500,Fagus sylvatica
4173500,2954500,Fagus sylvatica
4071500,2977500,Fagus sylvatica
4119500,3148500,Fagus sylvatica
4236500,2934500,Fagus sylvatica
4160000,2904000,Fagus sylvatica
4252500,3225500,Fagus sylvatica
4203500,2859500,Fagus sylvatica
4189500,2806500,Fagus sylvatica
4274500,3091500,Fagus sylvatica
4318500,2916500,Fagus sylvatica
4313500,2827500,Fagus sylvatica
4174500,2900500,Fagus sylvatica
4265500,2809500,Fagus sylvatica
4088500,2990500,Fagus sylvatica
4582500,3393500,Fagus sylvatica
4552500,3359500,Fagus sylvatica
4501500,3386500,Fagus sylvatica
4162500,2761500,Fagus sylvatica
4155500,3015500,Fagus sylvatica
4163500,3151500,Fagus sylvatica
4530500,3371500,Fagus sylvatica
4271500,3433500,Fagus sylvatica
4203500,2868500,Fagus sylvatica
4160500,2915500,Fagus sylvatica
4180500,3234500,Fagus sylvatica
4087500,3020500,Fagus sylvatica
4287500,2817500,Fagus sylvatica
4178500,2924500,Fagus sylvatica
4288500,3201500,Fagus sylvatica
4371500,3164500,Fagus sylvatica
4075500,2964500,Fagus sylvatica
4247500,2811500,Fraxinus excelsior
4387500,3017500,Fraxinus excelsior
4398500,3413500,Fraxinus excelsior
4288500,3213500,Fraxinus excelsior
4533500,3477500,Fraxinus excelsior
4435500,3178500,Fraxinus excelsior
4154500,2773500,Fraxinus excelsior
4410500,3426500,Fraxinus excelsior
4396500,2985500,Fraxinus excelsior
4140500,2741500,Fraxinus excelsior
4099500,3089500,Fraxinus excelsior
4449500,3451500,Fraxinus excelsior
4540500,3493500,Fraxinus excelsior
4408500,3277500,Fraxinus excelsior
4428500,2850500,Fraxinus excelsior
4212500,2882500,Fraxinus excelsior
4275500,2827500,Fraxinus excelsior
4567500,3118500,Fraxinus excelsior
4496500,3414500,Fraxinus excelsior
4516500,3434500,Fraxinus excelsior
4298500,3521500,Fraxinus excelsior
4340500,3208500,Fraxinus excelsior
4490500,3414500,Fraxinus excelsior
4284500,3229500,Fraxinus excelsior
4472500,3423500,Fraxinus excelsior
